MANGAID Mass b/a SFR
1-117697 10.883530616760254 0.9955054521560669 0.4449837803840637
1-72207 10.787683486938477 0.8297272324562073 0.7447891235351562
1-294860 10.793545722961426 0.9421123266220093 0.42402252554893494
1-175200 10.934873580932617 0.5844290852546692 0.3877353072166443
1-296599 10.799903869628906 0.8031854033470154 0.47766509652137756
1-318601 10.584354400634766 0.780218780040741 0.46288949251174927
1-149536 10.589932441711426 0.7418569922447205 0.14232788980007172
1-24603 10.562942504882812 0.6002523899078369 0.011350837536156178
1-299013 10.658056259155273 0.9034940004348755 -0.22994349896907806
1-151970 10.614856719970703 0.632881224155426 -0.10274375230073929
1-405025 10.736327171325684 0.9491915106773376 0.7060083746910095
1-137908 10.821479797363281 0.7006222009658813 -0.1643153727054596
1-255958 10.715150833129883 0.748839259147644 -0.18025752902030945
1-603793 10.883338928222656 0.5052304863929749 1.0737965106964111
1-420709 10.788017272949219 0.7652626633644104 0.3396052420139313
1-53004 10.848211288452148 0.912318229675293 0.5929761528968811
1-294319 10.622559547424316 0.7732523679733276 0.8293103575706482
1-122611 10.794017791748047 0.6981261372566223 0.5528206825256348
1-594544 10.62583065032959 0.6665327548980713 -0.07323290407657623
1-523085 10.727400779724121 0.6383060812950134 0.6882873773574829
1-537118 10.569376945495605 0.6038385033607483 0.4200480878353119
1-68605 10.841585159301758 0.6681423187255859 0.19912222027778625
1-422040 10.851269721984863 0.8308101296424866 0.32131481170654297
1-269984 10.604972839355469 0.6004728674888611 1.0346843004226685
1-79489 10.63075065612793 0.7946395874023438 0.8281915187835693
1-208709 10.900320053100586 0.8157524466514587 0.11134196817874908
1-38029 10.799291610717773 0.8639664053916931 0.22731797397136688
1-109081 10.931536674499512 0.7193796634674072 0.1509709656238556
1-379291 10.860719680786133 0.9549998044967651 0.7082281112670898
1-164053 10.928783416748047 0.8090855479240417 0.819750964641571
1-445487 10.611698150634766 0.6359472870826721 -0.2314101904630661
1-590142 10.746841430664062 0.7286731600761414 0.6094788908958435
1-316277 10.723444938659668 0.8493953943252563 1.4930380582809448
1-122206 10.5881986618042 0.7078886032104492 0.38488098978996277
